"행정구역","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~9세","2017년_계_10~19세","2017년_계_20~29세","2017년_계_30~39세","2017년_계_40~49세","2017년_계_50~59세","2017년_계_60~69세","2017년_계_70~79세","2017년_계_80~89세","2017년_계_90~99세","2017년_계_100세 이상","2017년_남_총인구수","2017년_남_연령구간인구수","2017년_남_0~9세","2017년_남_10~19세","2017년_남_20~29세","2017년_남_30~39세","2017년_남_40~49세","2017년_남_50~59세","2017년_남_60~69세","2017년_남_70~79세","2017년_남_80~89세","2017년_남_90~99세","2017년_남_100세 이상","2017년_여_총인구수","2017년_여_연령구간인구수","2017년_여_0~9세","2017년_여_10~19세","2017년_여_20~29세","2017년_여_30~39세","2017년_여_40~49세","2017년_여_50~59세","2017년_여_60~69세","2017년_여_70~79세","2017년_여_80~89세","2017년_여_90~99세","2017년_여_100세 이상"
"인천광역시 남구 (2817000000)","419,267","419,267","32,780","36,521","58,685","63,521","67,986","70,334","48,713","28,558","10,484","1,521","164","211,602","211,602","16,764","18,921","31,242","33,933","35,672","34,894","23,388","12,848","3,555","342","43","207,665","207,665","16,016","17,600","27,443","29,588","32,314","35,440","25,325","15,710","6,929","1,179","121"
"인천광역시 남구 숭의2동(2817052000)","13,895","13,895","1,158","1,002","1,803","2,216","2,093","2,275","1,735","1,118","428","64","3","7,050","7,050","608","507","957","1,224","1,126","1,149","830","481","150","18","0","6,845","6,845","550","495","846","992","967","1,126","905","637","278","46","3"
"인천광역시 남구 숭의1,3동(2817053500)","13,589","13,589","958","922","1,943","2,186","1,988","2,346","1,674","1,056","439","64","13","6,908","6,908","487","491","988","1,221","1,063","1,223","818","467","136","12","2","6,681","6,681","471","431","955","965","925","1,123","856","589","303","52","11"
"인천광역시 남구 숭의4동(2817054000)","16,913","16,913","1,197","1,440","2,175","2,456","2,640","2,835","2,140","1,384","573","66","7","8,515","8,515","612","778","1,143","1,333","1,376","1,436","993","637","181","26","0","8,398","8,398","585","662","1,032","1,123","1,264","1,399","1,147","747","392","40","7"
"인천광역시 남구 용현1,4동(2817055500)","18,025","18,025","904","1,248","3,516","2,168","2,474","2,928","2,438","1,697","549","89","14","9,665","9,665","458","680","2,287","1,235","1,403","1,453","1,159","767","195","24","4","8,360","8,360","446","568","1,229","933","1,071","1,475","1,279","930","354","65","10"
"인천광역시 남구 용현2동(2817056000)","14,313","14,313","1,254","1,310","1,795","2,189","2,387","2,278","1,709","1,013","309","58","11","7,220","7,220","663","731","939","1,150","1,209","1,130","815","459","109","11","4","7,093","7,093","591","579","856","1,039","1,178","1,148","894","554","200","47","7"
"인천광역시 남구 용현3동(2817057000)","8,241","8,241","350","492","938","1,012","1,254","1,518","1,350","913","357","48","9","4,321","4,321","176","240","541","612","732","816","648","413","127","13","3","3,920","3,920","174","252","397","400","522","702","702","500","230","35","6"
"인천광역시 남구 용현5동(2817059000)","48,329","48,329","5,241","5,209","6,379","7,659","8,616","7,546","4,374","2,333","838","131","3","24,136","24,136","2,685","2,708","3,308","3,801","4,405","3,735","2,142","1,040","284","28","0","24,193","24,193","2,556","2,501","3,071","3,858","4,211","3,811","2,232","1,293","554","103","3"
"인천광역시 남구 학익1동(2817060000)","34,531","34,531","3,049","4,032","4,553","4,494","6,366","5,717","3,582","1,944","699","85","10","17,228","17,228","1,560","2,109","2,419","2,260","3,164","2,821","1,768","854","252","16","5","17,303","17,303","1,489","1,923","2,134","2,234","3,202","2,896","1,814","1,090","447","69","5"
"인천광역시 남구 학익2동(2817061000)","21,068","21,068","1,667","2,120","2,867","2,882","3,483","3,592","2,353","1,446","571","76","11","10,414","10,414","861","1,070","1,564","1,467","1,745","1,726","1,119","669","174","16","3","10,654","10,654","806","1,050","1,303","1,415","1,738","1,866","1,234","777","397","60","8"
"인천광역시 남구 도화1동(2817063000)","23,415","23,415","1,967","1,811","3,256","4,049","3,442","3,823","2,734","1,597","627","103","6","11,649","11,649","956","916","1,650","2,152","1,809","1,909","1,278","734","218","26","1","11,766","11,766","1,011","895","1,606","1,897","1,633","1,914","1,456","863","409","77","5"
"인천광역시 남구 도화2,3동(2817064500)","20,436","20,436","1,375","1,742","2,681","2,949","3,151","3,672","2,642","1,571","568","77","8","10,531","10,531","678","897","1,452","1,663","1,702","1,923","1,306","694","198","14","4","9,905","9,905","697","845","1,229","1,286","1,449","1,749","1,336","877","370","63","4"
"인천광역시 남구 주안1동(2817066000)","19,477","19,477","1,455","963","4,110","4,360","2,923","2,947","1,609","795","275","38","2","10,183","10,183","767","503","2,102","2,441","1,632","1,472","793","364","102","6","1","9,294","9,294","688","460","2,008","1,919","1,291","1,475","816","431","173","32","1"
"인천광역시 남구 주안2동(2817067000)","22,277","22,277","1,408","1,700","2,924","3,133","3,373","3,941","3,089","1,914","703","82","10","11,338","11,338","738","899","1,625","1,728","1,823","1,925","1,482","868","237","12","1","10,939","10,939","670","801","1,299","1,405","1,550","2,016","1,607","1,046","466","70","9"
"인천광역시 남구 주안3동(2817068000)","11,299","11,299","714","941","1,420","1,494","1,791","2,029","1,566","977","323","36","8","5,757","5,757","373","506","787","821","954","998","757","433","115","10","3","5,542","5,542","341","435","633","673","837","1,031","809","544","208","26","5"
"인천광역시 남구 주안4동(2817069000)","19,551","19,551","1,047","1,469","2,543","2,450","2,934","3,559","2,964","1,870","609","96","10","9,797","9,797","517","755","1,336","1,382","1,542","1,777","1,364","880","225","17","2","9,754","9,754","530","714","1,207","1,068","1,392","1,782","1,600","990","384","79","8"
"인천광역시 남구 주안5동(2817070000)","20,426","20,426","1,247","1,613","3,010","3,102","3,211","3,661","2,519","1,398","552","103","10","10,245","10,245","645","811","1,590","1,680","1,731","1,788","1,207","598","166","26","3","10,181","10,181","602","802","1,420","1,422","1,480","1,873","1,312","800","386","77","7"
"인천광역시 남구 주안6동(2817071000)","24,257","24,257","2,701","1,942","3,126","4,630","4,029","3,510","2,397","1,306","531","74","11","12,118","12,118","1,391","1,012","1,577","2,383","2,128","1,678","1,130","620","184","12","3","12,139","12,139","1,310","930","1,549","2,247","1,901","1,832","1,267","686","347","62","8"
"인천광역시 남구 주안7동(2817072000)","14,435","14,435","906","1,264","1,867","1,983","2,259","2,579","1,909","1,166","425","71","6","7,074","7,074","453","657","979","1,093","1,138","1,201","884","503","150","13","3","7,361","7,361","453","607","888","890","1,121","1,378","1,025","663","275","58","3"
"인천광역시 남구 주안8동(2817073000)","23,143","23,143","1,846","2,294","3,246","3,253","3,865","4,186","2,515","1,386","488","59","5","11,319","11,319","941","1,158","1,649","1,678","1,919","1,998","1,210","594","155","17","0","11,824","11,824","905","1,136","1,597","1,575","1,946","2,188","1,305","792","333","42","5"
"인천광역시 남구 관교동(2817073500)","16,973","16,973","1,298","1,610","2,525","2,427","2,619","3,047","2,032","969","376","65","5","8,363","8,363","668","797","1,275","1,251","1,333","1,422","1,014","459","122","22","0","8,610","8,610","630","813","1,250","1,176","1,286","1,625","1,018","510","254","43","5"
"인천광역시 남구 문학동(2817074000)","14,674","14,674","1,038","1,397","2,008","2,429","3,088","2,345","1,382","705","244","36","2","7,771","7,771","527","696","1,074","1,358","1,738","1,314","671","314","75","3","1","6,903","6,903","511","701","934","1,071","1,350","1,031","711","391","169","33","1"
