"행정구역별(1)",행정구역별(2),2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"행정구역별(1)",행정구역별(2),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명)
"부산광역시",북구,9.7,30373,312937,10.4,32212,309719,11.1,34057,306974,11.7,36451,310484,12.4,38522,310202,13.5,41000,302924,14.5,43125,296952,15.8,45908,291132,17.4,49304,283952,18.5,52506,283211,20.0,55768,278857,21.6,59154,273596
"부산광역시",해운대구,10.9,46662,428188,11.6,49353,425536,12.3,51970,423531,12.9,54547,422818,13.5,56854,419853,14.5,59949,412039,15.3,62825,409347,16.3,66218,406102,17.5,70306,402169,18.5,73306,396438,19.7,76256,386785,20.9,79666,380448
"부산광역시",사하구,10.7,37748,352726,11.5,40007,349110,12.3,42209,343371,13.1,44389,337781,14.0,46778,334603,15.1,50261,333301,16.1,52805,327791,17.4,55964,321004,19.1,59570,311757,20.4,62278,306003,21.8,65745,301987,23.2,69050,297831
"부산광역시",금정구,12.7,32560,255692,13.6,34397,253526,14.4,36090,249856,15.3,37649,246026,16.1,39482,244624,17.2,42011,244469,18.3,44382,242956,19.5,46642,239062,21.0,48920,232666,22.1,50401,228049,23.6,52128,221256,25.1,54066,215590
"부산광역시",강서구,14.5,9550,65806,14.2,9947,69873,13.3,10593,79619,12.1,11429,94608,11.3,12348,108909,11.2,13205,117382,11.5,14090,122957,11.7,15183,129566,12.1,16633,137957,12.5,17845,142918,13.3,18996,143207,14.2,20180,142396
"부산광역시",연제구,12.5,26353,211536,13.4,27994,209290,14.1,29397,208012,14.7,31042,210718,15.4,31832,207268,16.3,33600,206742,17.1,35526,207840,18.1,37891,209395,19.4,40515,209157,20.4,42313,207144,21.7,44099,203536,22.5,46217,205766
"부산광역시",수영구,14.1,24892,176666,15.1,26394,175098,15.8,28266,178480,16.5,29695,179795,17.2,30831,179324,18.1,32621,179996,19.2,33784,176246,20.2,35661,176148,21.3,37610,176894,22.3,38971,175095,23.3,40697,174806,24.4,42528,174518
"부산광역시",사상구,9.8,24495,250424,10.6,26174,246797,11.4,27712,242953,12.3,29182,237711,13.1,30561,232800,14.3,32715,229219,15.4,34306,223361,16.7,36409,218094,18.3,38865,212586,19.6,40878,208298,21.1,42960,203789,22.5,45700,202932
"부산광역시",기장군,13.2,15114,114566,12.7,16874,132507,12.7,18422,144748,12.9,19769,153093,13.3,21056,158527,14.0,22649,161651,14.6,24049,164864,15.4,25348,164716,15.9,27742,174545,16.6,29357,177125,17.5,31204,178614,18.4,32945,178729
"대구광역시",소계,10.9,274152,2505644,11.6,289246,2501588,12.2,303537,2493264,12.7,316122,2487829,13.2,328901,2484557,14.0,347459,2475231,14.7,362934,2461769,15.6,379277,2438031,16.6,400494,2418346,17.5,417060,2385412,18.4,435698,2363691,19.6,466338,2374960
"대구광역시",중구,17.7,13371,75439,18.4,14053,76246,18.7,14745,78812,18.8,15200,80928,19.2,15343,79712,19.7,15531,78986,19.6,15566,79401,20.1,15597,77421,20.8,15928,76547,21.0,15696,74791,20.1,16107,80199,19.2,17113,89064
